Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
GC-1061,60,1,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc
GC-10,60,1,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc
GC-10,60,3,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc
GC-10,60,3,1,750W,32,"1-1/4""",N/A,160,16,52,Grinder,https://www.hungpump.com/gc
GC-20,60,1,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc
GC-20,60,3,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc
GC-20,60,3,2,1.5kW,32,"1-1/4""",N/A,180,26,85,Grinder,https://www.hungpump.com/gc
GC-30,60,3,3,2.2kW,50,"2""",N/A,180,36,118,Grinder,https://www.hungpump.com/gc
GC-30,60,3,3,2.2kW,50,"2""",N/A,180,36,118,Grinder,https://www.hungpump.com/gc
GC-3063,60,3,3,2.2kW,50,"2""",N/A,180,36,118,Grinder,https://www.hungpump.com/gc
GC-50,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-50,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-5063,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,Grinder,https://www.hungpump.com/gc
GC-75,60,3,7.5,5.5kW,65,"2-1/2""",N/A,320,55,180,Grinder,https://www.hungpump.com/gc
GC-75,60,3,7.5,5.5kW,65,"2-1/2""",N/A,320,55,180,Grinder,https://www.hungpump.com/gc
GC-7563,60,3,7.5,5.5kW,65,"2-1/2""",N/A,320,55,180,Grinder,https://www.hungpump.com/gc
GD-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd
GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd
GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd
GD-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,230,20,66,Grinder,https://www.hungpump.com/gd
GD-20,60,1,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd
GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd
GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd
GD-20,60,3,2,1.5kW,32,"1-1/4""",N/A,235,23,75,Grinder,https://www.hungpump.com/gd
GD-30,60,3,3,2.2kW,32,"1-1/4""",N/A,235,28,92,Grinder,https://www.hungpump.com/gd
GD-30,60,3,3,2.2kW,32,"1-1/4""",N/A,235,28,92,Grinder,https://www.hungpump.com/gd
GDH-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,110,29,95,Grinder,https://www.hungpump.com/gdh
GDH-20,60,1,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20G,60,1,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20,60,3,2,1.5kW,32,"1-1/4""",N/A,175,30,98,Grinder,https://www.hungpump.com/gdh
GDH-20C,60,1,2,1.5kW,50,"2""",N/A,490,10,33,Grinder,https://www.hungpump.com/gdh
GS-15,60,1,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
GS-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
GS-15,60,3,1.5,1.1kW,32,"1-1/4""",N/A,50,85,280,Grinder,https://www.hungpump.com/gs
HD-10,60,1,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-10,60,1,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-10,60,3,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-10,60,3,1,750W,80,"3""",10,600,9.5,31,,https://www.hungpump.com/hd
HD-15,60,1,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-15,60,1,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-15,60,3,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-15,60,3,1.5,1.1kW,80,"3""",10,820,10,33,,https://www.hungpump.com/hd
HD-20,60,1,2,1.5kW,80,"3""",10,1050,11.5,38,,https://www.hungpump.com/hd
HD-20,60,3,2,1.5kW,80,"3""",10,1050,11.5,38,,https://www.hungpump.com/hd
HD-20,60,3,2,1.5kW,80,"3""",10,1050,11.5,38,,https://www.hungpump.com/hd
HEF A100D,60,1,1,750W,50,"2""",7,220,20,66,,https://www.hungpump.com/hef
HEF A50,60,1,1/2,400W,50,"2""",7,250,12,39,,https://www.hungpump.com/hef
HEF S300,60,3,3,2.2kW,50,"2""",12,620,28,92,,https://www.hungpump.com/hef
HF-10,60,1,1,750W,100,"4""",19,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf
HF-10,60,3,1,750W,100,"4""",19,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf
HF-10,60,3,1,750W,100,"4""",19,850,8,26,Sewage and Wastewater,https://www.hungpump.com/hf
HF-20,60,1,2,1.5kW,100,"4""",19,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf
HF-20,60,3,2,1.5kW,100,"4""",19,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf
HF-20,60,3,2,1.5kW,100,"4""",19,1200,12,39,Sewage and Wastewater,https://www.hungpump.com/hf
HFP S25,60,1,1/4,200W,32,"1-1/4""",5,140,7,23,,https://www.hungpump.com/hfp
HFP S75A,60,1,3/4,600W,32,"1-1/4""",32,240,6.5,21,,https://www.hungpump.com/hfp
HFS H20,60,1,1/5,150W,50,"2""",6,210,6,20,,https://www.hungpump.com/hfs
HFS H50,60,1,1/2,400W,50,"2""",6,320,10,33,,https://www.hungpump.com/hfs
HFS S50,60,1,1/2,400W,50,"2""",7,200,9,30,,https://www.hungpump.com/hfs
HFS V33,60,1,1/3,250W,50,"2""",19,260,7,23,,https://www.hungpump.com/hfs
HFS V50A,60,1,1/2,400W,50,"2""",19,320,9,30,,https://www.hungpump.com/hfs
HHP C100A,60,1,1,750W,50,"2""",8,220,25,82,,https://www.hungpump.com/hhp
HHP C50A,60,1,1/2,400W,32,"1-1/4""",8,180,20,66,,https://www.hungpump.com/hhp
HSE L100A,60,1,1,750W,50,"2""",50,500,10,33,,https://www.hungpump.com/hse
HSE L200A,60,1,2,1.5kW,80,"3""",65,900,9,30,,https://www.hungpump.com/hse
HSE L50A,60,1,1/2,400W,50,"2""",50,380,7,23,,https://www.hungpump.com/hse
HSE W300,60,3,3,2.2kW,80,"3""",40,1200,20,66,,https://www.hungpump.com/hse
HSE W500,60,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/hse
HSG C200,60,1,2,1.5kW,32,"1-1/4""",N/A,180,26,85,,https://www.hungpump.com/hsg
HSG C500,60,3,5,3.7kW,65,"2-1/2""",N/A,320,42,138,,https://www.hungpump.com/hsg
HSG C75,60,1,3/4,550W,32,"1-1/4""",N/A,140,11,36,,https://www.hungpump.com/hsg
HSG X150A,60,1,1.5,1.1kW,32,"1-1/4""",N/A,50,50,165,,https://www.hungpump.com/hsg
JK-05,60,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-05,60,1,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-05,60,3,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-05,60,3,1/2,400W,50,"2""",30,320,9,30,Dirty Water,https://www.hungpump.com/jk
JK-10,60,1,1,750W,50,"2""",30,400,12,39,Dirty Water,https://www.hungpump.com/jk
LBV-75,60,1,1,750W,50,"2""",30,400,12,39,,https://www.hungpump.com/lbv
JK-10,60,1,1,750W,50,"2""",30,400,12,39,Dirty Water,https://www.hungpump.com/jk
JK-10,60,3,1,750W,50,"2""",30,400,12,39,Dirty Water,https://www.hungpump.com/jk
JK-10,60,3,1,750W,50,"2""",30,400,12,39,Dirty Water,https://www.hungpump.com/jk
JK-20,60,1,2,1.5kW,80,"3""",35,620,18,59,Dirty Water,https://www.hungpump.com/jk
JK-20,60,3,2,1.5kW,80,"3""",35,620,18,59,Dirty Water,https://www.hungpump.com/jk
JK-20,60,3,2,1.5kW,80,"3""",35,620,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,60,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-30,60,3,3,2.2kW,80,"3""",35,780,18,59,Dirty Water,https://www.hungpump.com/jk
JK-50,60,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-50,60,3,5,3.7kW,100,"4""",45,1100,22,72,Dirty Water,https://www.hungpump.com/jk
JK-75,60,3,7.5,5.5kW,100,"4""",50,1200,24,79,Dirty Water,https://www.hungpump.com/jk
JK-75,60,3,7.5,5.5kW,100,"4""",50,1200,24,79,Dirty Water,https://www.hungpump.com/jk
JKCH-20,60,1,1/2,400W,32,"1-1/4""",1,100,20,66,,https://www.hungpump.com/jkch
JKCH-20,60,1,1/2,400W,32,"1-1/4""",1,100,20,66,,https://www.hungpump.com/jkch
JKCH-20,60,3,1/2,400W,32,"1-1/4""",1,100,20,66,,https://www.hungpump.com/jkch
JKCH-20,60,3,1/2,400W,32,"1-1/4""",1,100,20,66,,https://www.hungpump.com/jkch
JKCH-30,60,1,3/4,550W,32,"1-1/4""",1,100,30,98,,https://www.hungpump.com/jkch
JKCH-30,60,1,3/4,550W,32,"1-1/4""",1,100,30,98,,https://www.hungpump.com/jkch
JKCH-30,60,3,3/4,550W,32,"1-1/4""",1,100,30,98,,https://www.hungpump.com/jkch
JKCH-30,60,3,3/4,550W,32,"1-1/4""",1,100,30,98,,https://www.hungpump.com/jkch
JKCH-40,60,1,1.1,800W,32,"1-1/4""",1,100,40,131,,https://www.hungpump.com/jkch
JKCH-40,60,1,1.1,800W,32,"1-1/4""",1,100,40,131,,https://www.hungpump.com/jkch
JKCH-40,60,3,1.1,800W,32,"1-1/4""",1,100,40,131,,https://www.hungpump.com/jkch
JKCH-40,60,3,1.1,800W,32,"1-1/4""",1,100,40,131,,https://www.hungpump.com/jkch
JKCH-50,60,1,1.5,1.1kW,32,"1-1/4""",1,100,50,164,,https://www.hungpump.com/jkch
JKCH-50,60,1,1.5,1.1kW,32,"1-1/4""",1,100,50,164,,https://www.hungpump.com/jkch
JKCH-50,60,3,1.5,1.1kW,32,"1-1/4""",1,100,50,164,,https://www.hungpump.com/jkch
JKCH-50,60,3,1.5,1.1kW,32,"1-1/4""",1,100,50,164,,https://www.hungpump.com/jkch
JKCH-60,60,1,1.8,1.35kW,32,"1-1/4""",1,100,60,197,,https://www.hungpump.com/jkch
JKCH-60,60,1,1.8,1.35kW,32,"1-1/4""",1,100,60,197,,https://www.hungpump.com/jkch
JKCH-60,60,3,1.8,1.35kW,32,"1-1/4""",1,100,60,197,,https://www.hungpump.com/jkch
JKCH-60,60,3,1.8,1.35kW,32,"1-1/4""",1,100,60,197,,https://www.hungpump.com/jkch
KA-2.4,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4A,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4A,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4D,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4D,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4DA,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4DA,60,1,1/2,400W,50,"2""",7,250,12,39,Dirty Water,https://www.hungpump.com/ka
KA-2.4R,60,1,1/2,400W,50,"2""",2.8,160,15.5,51,Dirty Water,https://www.hungpump.com/ka
KA-2.4R,60,1,1/2,400W,50,"2""",2.8,160,14,46,Dirty Water,https://www.hungpump.com/ka
KA-2.75D,60,1,1,750W,50,"2""",7,220,20,66,Dirty Water,https://www.hungpump.com/ka
KA-2.75D,60,1,1,750W,50,"2""",7,220,20,66,Dirty Water,https://www.hungpump.com/ka
KA-2.75DA,60,1,1,750W,50,"2""",7,220,20,66,Dirty Water,https://www.hungpump.com/ka
KA-2.75DA,60,1,1,750W,50,"2""",7,220,20,66,Dirty Water,https://www.hungpump.com/ka
KA-3.75D,60,1,1,750W,80,"3""",7,250,19,62,Dirty Water,https://www.hungpump.com/ka
KA-3.75D,60,1,1,750W,80,"3""",7,250,19,62,Dirty Water,https://www.hungpump.com/ka
KA-3.75DA,60,1,1,750W,80,"3""",7,250,19,62,Dirty Water,https://www.hungpump.com/ka
KA-3.75DA,60,1,1,750W,80,"3""",7,250,19,62,Dirty Water,https://www.hungpump.com/ka
KHL-100,60,3,10,7.5kW,100,"4""",15,1680,38,125,,https://www.hungpump.com/khl
KHL-100,60,3,10,7.5kW,100,"4""",15,1680,38,125,,https://www.hungpump.com/khl
KHL-20,60,1,2,1.5kW,50,"2""",12,415,25,82,,https://www.hungpump.com/khl
KHL-20,60,3,2,1.5kW,50,"2""",12,415,25,82,,https://www.hungpump.com/khl
KHL-20,60,3,2,1.5kW,50,"2""",12,415,25,82,,https://www.hungpump.com/khl
KHL-30,60,3,3,2.2kW,50,"2""",12,620,28,92,,https://www.hungpump.com/khl
KHL-30,60,3,3,2.2kW,50,"2""",12,620,28,92,,https://www.hungpump.com/khl
KHL-50,60,3,5,3.7kW,50,"2""",15,770,32,105,,https://www.hungpump.com/khl
KHL-50,60,3,5,3.7kW,50,"2""",15,770,32,105,,https://www.hungpump.com/khl
KHL-75,60,3,7.5,5.5kW,80,"3""",15,1380,31,102,,https://www.hungpump.com/khl
KHL-75,60,3,7.5,5.5kW,80,"3""",15,1380,31,102,,https://www.hungpump.com/khl
KS-05,60,1,1/2,400W,50,"2""",5,260,10,33,,https://www.hungpump.com/ks
KS-05,60,1,1/2,400W,50,"2""",5,260,10,33,,https://www.hungpump.com/ks
KS-10,60,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ks
KS-10,60,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ks
KS-10,60,3,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ks
KS-10,60,3,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ks
KS-100,60,3,10,7.5kW,100,"4""",11,2400,28,92,,https://www.hungpump.com/ks
KS-100,60,3,10,7.5kW,100,"4""",11,2400,28,92,,https://www.hungpump.com/ks
KS-20,60,1,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ks
KS-20,60,3,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ks
KS-20,60,3,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ks
KS-20,60,3,2,1.5kW,80,"3""",12,960,15.5,51,,https://www.hungpump.com/ks
KS-30,60,3,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ks
KS-30,60,3,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ks
KS-30,60,3,3,2.2kW,80,"3""",12,"1,200",20,66,,https://www.hungpump.com/ks
KS-50,60,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ks
KS-50,60,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ks
KS-50,60,3,5,3.7kW,80,"3""",12,"1,400",26,85,,https://www.hungpump.com/ks
KS-75,60,3,7.5,5.5kW,100,"4""",11,1900,24,79,,https://www.hungpump.com/ks
KS-75,60,3,7.5,5.5kW,100,"4""",11,1900,24,79,,https://www.hungpump.com/ks
KSL-10,60,1,1,750W,80,"3""",9,560,13,43,,https://www.hungpump.com/ksl
KSL-10,60,3,1,750W,80,"3""",9,560,13,43,,https://www.hungpump.com/ksl
KSP-10,60,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-10,60,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-10,60,1,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-10,60,3,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-10,60,3,1,750W,50,"2""",6,420,14,46,,https://www.hungpump.com/ksp
KSP-100,60,3,10,7.5kW,150,"6""",11,2400,28,92,,https://www.hungpump.com/ksp
KSP-100,60,3,10,7.5kW,150,"6""",11,2400,28,92,,https://www.hungpump.com/ksp
KSP-100,60,3,10,7.5kW,150,"6""",11,2400,28,92,,https://www.hungpump.com/ksp
KSP-20,60,1,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ksp
KSP-20,60,3,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ksp
KSP-20,60,3,2,1.5kW,80,"3""",9,700,17,56,,https://www.hungpump.com/ksp
KSP-30,60,1,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ksp
KSP-30,60,3,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ksp
KSP-30,60,3,3,2.2kW,80,"3""",11,900,18,59,,https://www.hungpump.com/ksp
KSP-50,60,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ksp
KSP-50,60,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ksp
KSP-50,60,3,5,3.7kW,100,"4""",11,1200,22,72,,https://www.hungpump.com/ksp
KSP-75,60,3,7.5,5.5kW,100,"4""",11,1900,24,79,,https://www.hungpump.com/ksp
KSP-75,60,3,7.5,5.5kW,100,"4""",11,1900,24,79,,https://www.hungpump.com/ksp
KSV-150,60,1,1/5,150W,40,"1-1/2""",5,200,6,20,,https://www.hungpump.com/ksv
KSV-150,60,1,1/5,150W,40,"1-1/2""",5,200,6,20,,https://www.hungpump.com/ksv
KSV-1500,60,1,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-1500,60,3,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-1500,60,3,2,1.5kW,80,"3""",20,800,17,56,,https://www.hungpump.com/ksv
KSV-250,60,1,1/3,250W,40,"1-1/2""",5,240,7,23,,https://www.hungpump.com/ksv
KSV-250,60,1,1/3,250W,40,"1-1/2""",5,240,7,23,,https://www.hungpump.com/ksv
KSV-400,60,1,1/2,400W,50,"2""",10,300,9,30,,https://www.hungpump.com/ksv
KSV-400,60,1,1/2,400W,50,"2""",10,300,9,30,,https://www.hungpump.com/ksv
KSV-550,60,1,3/4,550W,50,"2""",15,330,10,33,,https://www.hungpump.com/ksv
KSV-550,60,1,3/4,550W,50,"2""",15,330,10,33,,https://www.hungpump.com/ksv
KSV-750,60,1,1,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KSV-750,60,1,1,750W,80,"3""",15,430,11,36,,https://www.hungpump.com/ksv
KT-215,60,1,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-215,60,3,2,1.5kW,50,"2""",N/A,460,26,85,Construction,https://www.hungpump.com/kt
KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt
KT-222,60,3,3,2.2kW,50,"2""",N/A,720,33,108,Construction,https://www.hungpump.com/kt
KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt
KT-237,60,3,5,3.7kW,50,"2""",N/A,550,37,121,Construction,https://www.hungpump.com/kt
KT-315,60,1,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-315,60,3,2,1.5kW,80,"3""",N/A,610,17,56,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-322,60,3,3,2.2kW,80,"3""",N/A,800,22,72,Construction,https://www.hungpump.com/kt
KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt
KT-337,60,3,5,3.7kW,80,"3""",N/A,950,31,102,Construction,https://www.hungpump.com/kt
KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt
KT-355,60,3,7.5,5.5kW,80,"3""",N/A,970,40,131,Construction,https://www.hungpump.com/kt
KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt
KT-4110,60,3,15,11kW,100,"4""",N/A,1630,48,157,Construction,https://www.hungpump.com/kt
KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt
KT-4150,60,3,20,15kW,100,"4""",N/A,1930,52,171,Construction,https://www.hungpump.com/kt
KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt
KT-437,60,3,5,3.7kW,100,"4""",N/A,1560,18,59,Construction,https://www.hungpump.com/kt
KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt
KT-455,60,3,7.5,5.5kW,100,"4""",N/A,1520,28,92,Construction,https://www.hungpump.com/kt
KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt
KT-475,60,3,10,7.5kW,100,"4""",N/A,1590,38,125,Construction,https://www.hungpump.com/kt
KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt
KT-6110,60,3,15,11kW,150,"6""",N/A,2450,34,112,Construction,https://www.hungpump.com/kt
KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt
KT-6150,60,3,20,15kW,100,"4""",N/A,2960,40,131,Construction,https://www.hungpump.com/kt
KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt
KT-675,60,3,10,7.5kW,150,"6""",N/A,2060,28,92,Construction,https://www.hungpump.com/kt
MAS-150,60,1,1/5,150W,40,"1-1/2""",19,220,6.5,21,Clean Water,https://www.hungpump.com/mas
MAS-150,60,1,1/5,150W,40,"1-1/2""",19,220,6.5,21,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,40,"1-1/2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,50,"2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,40,"1-1/2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-250,60,1,1/3,250W,50,"2""",19,280,9,30,Clean Water,https://www.hungpump.com/mas
MAS-400,60,1,1/2,400W,50,"2""",19,320,10.5,34,Clean Water,https://www.hungpump.com/mas
MAS-400,60,1,1/2,400W,50,"2""",19,320,10.5,34,Clean Water,https://www.hungpump.com/mas
MAS-750,60,1,1,750W,50,"2""",19,380,13,43,Clean Water,https://www.hungpump.com/mas
MAS-750,60,1,1,750W,50,"2""",19,380,13,43,Clean Water,https://www.hungpump.com/mas
MH-150,60,1,1/5,150W,50,"2""",6,210,6,20,Clean Water,https://www.hungpump.com/mh
MH-150,60,1,1/5,150W,50,"2""",6,210,6,20,Clean Water,https://www.hungpump.com/mh
MH-250,60,1,1/3,250W,50,"2""",6,230,7,23,Clean Water,https://www.hungpump.com/mh
MH-250,60,1,1/3,250W,50,"2""",6,230,7,23,Clean Water,https://www.hungpump.com/mh
MH-400,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400-FR,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-400-FR,60,1,1/2,400W,50,"2""",6,320,10,33,Clean Water,https://www.hungpump.com/mh
MH-750,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750-FR,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750-FR,60,1,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,3,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MH-750,60,3,1,750W,50,"2""",6,390,12.5,41,Clean Water,https://www.hungpump.com/mh
MVH-10,60,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
MVH-10,60,1,3/4,550W,25,"1""",3,100,32,105,High Pressure,https://www.hungpump.com/mvh
BCP-20,50,1,1/8,95W,11,,N/A,300,5.8,19,,https://www.hungpump.com/bcp
CBP-330,50,1,3,2.2kW,80,"3""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-330,50,3,3,2.2kW,80,"3""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-330T,50,3,3,2.2kW,100,"4""",3,1200,11.5,38,Clean Water,https://www.hungpump.com/cbp
CBP-440,50,3,4,3kW,100,"4""",3,1300,13,43,Clean Water,https://www.hungpump.com/cbp
CBP-440T,50,3,4,3kW,100,"4""",3,1300,13,43,Clean Water,https://www.hungpump.com/cbp
CBP-540,50,3,5,3.7kW,100,"4""",3,1550,17.5,57,Clean Water,https://www.hungpump.com/cbp
CBP-540T,50,3,5,3.7kW,100,"4""",3,1550,17.5,57,Clean Water,https://www.hungpump.com/cbp
CBP-740,50,3,7.5,5.5kW,100,"4""",3,1700,23,75,Clean Water,https://www.hungpump.com/cbp
CBP-740T,50,3,7.5,5.5kW,100,"4""",3,11700,23,75,Clean Water,https://www.hungpump.com/cbp
GP-90,50,1,1/4,200W,25,"1""",N/A,40,32,106,Construction,https://www.hungpump.com/gp
GP-90S,50,1,1/4,200W,25,"1""",N/A,40,32,106,Construction,https://www.hungpump.com/gp
HC-40,50,1,4,3kW,50,"2""",1,250,60,197,,https://www.hungpump.com/hc
HC-40,50,3,4,3kW,50,"2""",1,250,60,197,,https://www.hungpump.com/hc
