Model No.,Frequency (Hz),Phase,HP,Power(KW),Outlet (mm),Outlet (inch),Pass Solid Dia(mm),Max Flow (LPM),Max Head (M),Max Head (ft),Category,Product Link
BPS-400A,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400A,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400V,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-400V,60,1,1/2,400W,50,"2""",5,220,9,30,Clean Water,https://www.hungpump.com/bps
BPS-80,60,1,1/10,80W,20,"3/4""",3,40,4,13,Clean Water,https://www.hungpump.com/bps
BPS-80,60,1,1/10,80W,20,"3/4""",3,40,4,13,Clean Water,https://www.hungpump.com/bps
BPS-80A,60,1,1/10,80W,20,"3/4""",3,40,4,13,Clean Water,https://www.hungpump.com/bps
BPS-80A,60,1,1/10,80W,20,"3/4""",3,40,4,13,Clean Water,https://www.hungpump.com/bps
DC-1812,60,1,1/8,96W,25,"1""",3,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc
DC-1812,50,1,1/8,96W,25,"1""",3,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc
DC-1824,60,1,1/6,120W,25,"1""",3,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc
DC-1824,50,1,1/6,120W,25,"1""",3,115,0.75,2,Speciality Pump,https://www.hungpump.com/dc
DC-2312,60,1,1/4,132W,25,"1""",3,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc
DC-2312,50,1,1/4,132W,25,"1""",3,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc
DC-2324,60,1,1/4,132W,25,"1""",3,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc
DC-2324,50,1,1/4,132W,25,"1""",3,145,2.3,8,Speciality Pump,https://www.hungpump.com/dc
DC-3024,60,1,1/4,168W,32,"1-1/4""",5,190,5.5,18,Speciality Pump,https://www.hungpump.com/dc
DC-3024,50,1,1/4,168W,32,"1-1/4""",5,190,5.5,18,Speciality Pump,https://www.hungpump.com/dc
DS-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/ds
DS-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/ds
DS-05,60,3,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/ds
DS-05,60,3,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/ds
DS-10,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-10A,60,1,1,750W,80,"3""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,60,1,1,750W,80,"3""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,60,3,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-10,60,3,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/ds
DS-100,60,3,10,7.5kW,100,"4""",27,1530,28,92,,https://www.hungpump.com/ds
DS-100,60,3,10,7.5kW,100,"4""",27,1530,28,92,,https://www.hungpump.com/ds
DS-20,60,1,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/ds
DS-20,60,3,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/ds
DS-20,60,3,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/ds
DS-20,60,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20,60,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20G,60,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20F,60,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-20F,60,3,2,1.5kW,80,"3""",35,960,15.5,51,,https://www.hungpump.com/ds
DS-30,60,3,3,2.2kW,80,"3""",15,820,19,62,,https://www.hungpump.com/ds
DS-30,60,3,3,2.2kW,80,"3""",15,820,19,62,,https://www.hungpump.com/ds
DS-30,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30G,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30G,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30F,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-30F,60,3,3,2.2kW,80,"3""",35,"1,200",20,66,,https://www.hungpump.com/ds
DS-50,60,3,5,3.7kW,100,"4""",15,1180,21,69,,https://www.hungpump.com/ds
DS-50,60,3,5,3.7kW,100,"4""",15,1180,21,69,,https://www.hungpump.com/ds
DS-50,60,3,5,3.7kW,80,"3""",35,"1,400",26,85,,https://www.hungpump.com/ds
DS-50,60,3,5,3.7kW,80,"3""",35,"1,400",26,85,,https://www.hungpump.com/ds
DS-50G,60,3,5,3.7kW,80,"3""",35,"1,400",26,85,,https://www.hungpump.com/ds
DS-50F,60,3,5,3.7kW,80,"3""",35,"1,400",26,85,,https://www.hungpump.com/ds
DS-50F,60,3,5,3.7kW,80,"3""",35,"1,400",26,85,,https://www.hungpump.com/ds
DS-75,60,3,7.5,5.5kW,100,"4""",20,1320,24,79,,https://www.hungpump.com/ds
DS-75,60,3,7.5,5.5kW,100,"4""",20,1320,24,79,,https://www.hungpump.com/ds
DSK-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-05,60,3,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-05,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-05A,60,1,1/2,400W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-10,60,1,1,750W,50,"2""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-10,60,3,1,750W,80,"3""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-10,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/dsk
DSK-10,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/dsk
DSK-10,60,3,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/dsk
DSK-10,60,3,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/dsk
DSK-100,60,3,10,7.5kW,100,"4""",27,1530,28,92,,https://www.hungpump.com/dsk
DSK-100,60,3,10,7.5kW,100,"4""",27,1530,28,92,,https://www.hungpump.com/dsk
DSK-10A,60,1,1,750W,50,"2""",15,420,14,46,,https://www.hungpump.com/dsk
DSK-20,60,1,2,1.5kW,80,"3""",15,300,10,33,,https://www.hungpump.com/dsk
DSK-20,60,1,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/dsk
DSK-20,60,3,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/dsk
DSK-20,60,3,2,1.5kW,80,"3""",15,660,18,59,,https://www.hungpump.com/dsk
DSK-30,60,3,3,2.2kW,80,"3""",15,820,19,62,,https://www.hungpump.com/dsk
DSK-30,60,3,3,2.2kW,80,"3""",15,820,19,62,,https://www.hungpump.com/dsk
DSK-50,60,3,5,3.7kW,100,"4""",15,1180,21,69,,https://www.hungpump.com/dsk
DSK-50,60,3,5,3.7kW,100,"4""",15,1180,21,69,,https://www.hungpump.com/dsk
DSK-75,60,3,7.5,5.5kW,100,"4""",20,1320,24,79,,https://www.hungpump.com/dsk
DSK-75,60,3,7.5,5.5kW,100,"4""",20,1320,24,79,,https://www.hungpump.com/dsk
DSP-10,60,1,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-10,60,1,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-10,60,3,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-10,60,3,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-10,60,3,1,750W,50,"2""",30,400,14,46,Dirty Water,https://www.hungpump.com/dsp
DSP-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,Dirty Water,https://www.hungpump.com/dsp
DSP-150,60,3,15,11kW,150,"6""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-150,60,3,15,11kW,150,"6""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-150,60,3,15,11kW,150,"6""",65,3200,32,105,Dirty Water,https://www.hungpump.com/dsp
DSP-20,60,1,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-20,60,3,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-20,60,3,2,1.5kW,80,"3""",40,880,18,59,Dirty Water,https://www.hungpump.com/dsp
DSP-30,60,1,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-30,60,3,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-30,60,3,3,2.2kW,80,"3""",40,1200,20,66,Dirty Water,https://www.hungpump.com/dsp
DSP-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,Dirty Water,https://www.hungpump.com/dsp
DSP-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,Dirty Water,https://www.hungpump.com/dsp
DSP-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,Dirty Water,https://www.hungpump.com/dsp
DSP-75,60,3,7.5,5.5kW,100,"4""",50,2100,34,112,Dirty Water,https://www.hungpump.com/dsp
DSP-75,60,3,7.5,5.5kW,100,"4""",50,2100,34,112,Dirty Water,https://www.hungpump.com/dsp
DSPK-10,60,1,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10,60,1,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10A,60,1,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10,60,3,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10,60,3,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-10,60,3,1,750W,50,"2""",30,400,14,46,,https://www.hungpump.com/dspk
DSPK-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,,https://www.hungpump.com/dspk
DSPK-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,,https://www.hungpump.com/dspk
DSPK-100G,60,3,10,7.5kW,100,"4""",65,2500,28,92,,https://www.hungpump.com/dspk
DSPK-100,60,3,10,7.5kW,150,"6""",65,2500,28,92,,https://www.hungpump.com/dspk
DSPK-150,60,3,15,11kW,150,"6""",65,3200,32,105,,https://www.hungpump.com/dspk
DSPK-150,60,3,15,11kW,150,"6""",65,3200,32,105,,https://www.hungpump.com/dspk
DSPK-150G,60,3,15,11kW,150,"6""",65,3200,32,105,,https://www.hungpump.com/dspk
DSPK-150,60,3,15,11kW,150,"6""",65,3200,32,105,,https://www.hungpump.com/dspk
DSPK-20,60,1,2,1.5kW,80,"3""",40,880,18,59,,https://www.hungpump.com/dspk
DSPK-20,60,3,2,1.5kW,80,"3""",40,880,18,59,,https://www.hungpump.com/dspk
DSPK-20,60,3,2,1.5kW,80,"3""",40,880,18,59,,https://www.hungpump.com/dspk
DSPK-30,60,1,3,2.2kW,80,"3""",40,1200,20,66,,https://www.hungpump.com/dspk
DSPK-30,60,3,3,2.2kW,80,"3""",40,1200,20,66,,https://www.hungpump.com/dspk
DSPK-30,60,3,3,2.2kW,80,"3""",40,1200,20,66,,https://www.hungpump.com/dspk
DSPK-4100,60,3,10,7.5W,100,"4""",65,660,93,305,,https://www.hungpump.com/dspk
DSPK-4100,60,3,10,7.5W,100,"4""",65,660,93,305,,https://www.hungpump.com/dspk
DSPK-4100,60,3,10,7.5W,100,"4""",65,660,93,305,,https://www.hungpump.com/dspk
DSPK-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-50G,60,3,5,3.7kW,80,"3""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-50G,60,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-50,60,3,5,3.7kW,100,"4""",45,1300,22,72,,https://www.hungpump.com/dspk
DSPK-75,60,3,7.5,5.5kW,100,"4""",50,2100,34,112,,https://www.hungpump.com/dspk
